Date,Open,High,Low,Close,Volume
17-Jun-15,529.37,530.98,525.10,529.26,1294216
16-Jun-15,528.40,529.64,525.56,528.15,1071814
15-Jun-15,528.00,528.30,524.00,527.20,1632702
12-Jun-15,531.60,533.12,530.16,532.33,955789
11-Jun-15,538.42,538.98,533.02,534.61,1217536
10-Jun-15,529.36,538.36,529.35,536.69,1814958
9-Jun-15,527.56,529.20,523.01,526.69,1455266
8-Jun-15,533.31,534.12,526.24,526.83,1524139
5-Jun-15,536.35,537.20,532.52,533.33,1388220
4-Jun-15,537.76,540.59,534.32,536.70,1348337
3-Jun-15,539.91,543.50,537.11,540.31,1717036
2-Jun-15,532.93,543.00,531.33,539.18,1938989
1-Jun-15,536.79,536.79,529.76,533.99,1904332
29-May-15,537.37,538.63,531.45,532.11,2597407
28-May-15,538.01,540.61,536.25,539.78,1029849
27-May-15,532.80,540.55,531.71,539.79,1525019
26-May-15,538.12,539.00,529.88,532.32,2406512
22-May-15,540.15,544.19,539.51,540.11,1176214
21-May-15,537.95,543.84,535.98,542.51,1462695
20-May-15,538.49,542.92,532.97,539.27,1430826
19-May-15,533.98,540.66,533.04,537.36,1966947
18-May-15,532.01,534.82,528.85,532.30,2003421
15-May-15,539.18,539.27,530.38,533.85,1971343
14-May-15,533.77,539.00,532.41,538.40,1403935
13-May-15,530.56,534.32,528.66,529.62,1253063
12-May-15,531.60,533.21,525.26,529.04,1634174
11-May-15,538.37,541.98,535.40,535.70,905285
8-May-15,536.65,541.15,536.00,538.22,1527615
7-May-15,523.99,533.46,521.75,530.70,1546278
6-May-15,531.24,532.38,521.08,524.22,1566987
5-May-15,538.21,539.74,530.39,530.80,1383068
4-May-15,538.53,544.07,535.06,540.78,1307960
1-May-15,538.43,539.54,532.10,537.90,1768181
30-Apr-15,547.87,548.59,535.05,537.34,2082214
29-Apr-15,550.47,553.68,546.90,549.08,1698761
28-Apr-15,554.64,556.02,550.37,553.68,1490983
27-Apr-15,563.39,565.95,553.20,555.37,2398039
24-Apr-15,566.10,571.14,557.25,565.06,4919031
23-Apr-15,541.00,550.96,540.23,547.00,4173376
